url,companyName
http://act1trucking.org/,ACT I
https://ssl.gwccnet.com/truck-insurance/portal/Home/,Great West Casualty Company
http://www.mpda.org/,Maine Professional Drivers Association 
http://www.wvtrucking.com/,West Virginia Trucking Association
http://regencytrans.com/,"Regency Transportation, Inc. "
https://www.boyletransport.com/,Boyle Transportation
,
http://www.classiccarriers.com/,"Classic Carriers, Inc. "
,
http://www.meritor.com/default.aspx,"Meritor, Inc."
http://www.trucking.org/event.aspx?uid=496270aa-003d-4dca-855b-943287b5fccd,National Truck Driving Championships 2014
,
http://witruck.org/,Wisconsin Motor Carriers Association
http://www.pbtrucking.net/,"P&B Trucking, Inc. "
http://www.truckload.org/,"Truckload Carriers Association, Inc. "
,
http://www.trw.com/,ZF TRW
http://www.spurgin.com/index.htm,"Ben Spurgin Insurance Agency
"
https://www.ruan.com/,Ruan Transportation Management Systems
,
https://meltontruck.com/,"Melton Truck Lines, Inc."
http://www.gogginwarehousing.com/,Goggin Warehousing LLC 
,
https://www.sefl.com/seflWebsite/index.jsp,Southeastern Freight Lines
http://www.gmta.org/,Georgia Motor Truck Association
http://www.cargotransporters.com/,"Cargo Transporters, Inc."
,
,
http://skinnertransfer.com/,Skinner Transfer Corp.
http://www.bolt-transport.com/,"BOLT–Bulk or Liquid Transport, LLC"
,
http://www.truckone.net/,"Truck One, Inc."
http://www.trimac.com/page/Home,"Trimac Transportation Services, Inc."
http://www.pcsb.org/myptc,Pineallas Technical College
,
http://www.kellerlogistics.com/,Keller Logistics Group
http://landstar.cc/jsite/,"Spirit Logistics, Inc."
,
http://www.toledotrucking.com/,Toledo Trucking Association
http://www.trucking.org/TAEC_Council.aspx,TAEC Region I
http://www.ohiotrucking.org/,Ohio Trucking Association 
,
http://www.tanktruck.org/,National Tank Truck Carriers
https://www.lpinsurance.com/,"Lipscomb & Pitts Insurance, LLC
"
http://baylortrucking.com/,"Baylor Trucking, Inc. "
http://www.werner.com/,"Werner Enterprises, Inc."
http://www.triplegexpress.com/,"Triple G Express, Inc. "
http://www.southdakotatrucking.com/,South Dakota Trucking Association 
http://www.hendrickson-intl.com/,"Hendrickson USA, L.L.C"
http://www.jetexpressinc.com/,"Jet Express, Inc."
http://www.jjkeller.com/shop/Home,"J.J. Keller & Associates, Inc. "
http://www.rjstruckinsurance.com/,RJS Insurance Services Inc.
https://jungtruck.com/,Jung Truck Service Inc.
https://www.bmo.com/home/about/banking/corporate-information/about-us/bmo-financial-group,BMO Financial Group
http://www.ictherightway.com/,"Contractor Management Services
"
http://www.matc.edu/,Milwaukee Area Technical College
http://stokestrucking.com/,"Stokes Trucking, Inc. "
https://www.thekag.com/,"Kenan Advantage Group, Inc. "
http://horizonfreightlines.com/,"Horizon Freight Lines, Inc. "
https://pohltransportation.com/,"Pohl Transportation, Inc. "
http://www.roadking.com/,RoadKing
http://www.truckingshow.com/,Mid-America Trucking Show
,
http://www.truenorthcompanies.com/,TrueNorth Companies LLC
http://www.tcwonline.com/,"TCW, Inc. "
http://www.bulldoghiway.com/,"Bulldog Hiway Express
"
http://www.shippersexpressinc.com/,Shipper’s Express Inc
https://www.pottlestrans.com/,Pottle’s Transportation LLC
http://www.longistics.com/,"Longistics International, LLC"
http://www.redeyeradioshow.com/,Red Eye Radio
http://nevadatrucking.com/,Nevada Trucking Association
https://www.motrucking.org/,"Missouri Trucking Association
"
,
http://www.midsouthtruckersgroup.com/,"MidSouth Truckers Group, Inc."
http://www.jackcooper.com/,Jack Cooper Holdings Corp.
http://www.silvereaglemfg.com/,Silver Eagle Manufacturing Company
http://www.bestwaycompanies.com/bestway-express.html,"Cope Bestway Express, Inc. "
http://www.truckdrivertraining.com/,MTC Truck Driver Training
http://www.texastrucking.com/,Texas Trucking Association Foundation
http://www.hendersontrucking.com/,"Earl L Henderson Trucking Inc. 
"
,
http://www.volvotrucks.com/,Volvo Trucks
https://www.dixoninsurance.com/,Dixon Insurance Inc.
http://www.mttrucking.org/,Motor Carriers of Montana
http://abilitytrimodal.com/,"Ability/Tri-Modal Transportation Services, Inc. "
,
http://www.scranet.org/,"Specialized Carriers & Rigging Association
"
http://www.mmtanet.com/,"Maryland Motor Truck Association, Inc."
,
http://www.mntruck.org/,"Minnesota Trucking Association
"
https://calhountrucklines.com/,Calhoun Truck Lines
http://www.ndmca.org/,"North Dakota Motor Carriers Association, Inc. 
"
http://www.jbtc.net/,James Burg Trucking Company (JBTC)
http://www.translandllc.com/,"Transland, LLC"
http://www.launchitpr.com/,LaunchIt Public Relations
http://www.truckshow.com/,Great America Truck Show 
http://naglecompanies.com/,Nagle Companies
http://www.steelmantransport.com/,Steelman Transportation
,
,
http://www.grammerindustries.com/,"Grammer Industries, Inc. "
,
http://www.intrucking.org/,Indiana Motor Truck Association
http://www.hni.com/,HNI Risk Services Inc.
